x,y
-5.062680965586749959e-01,-4.256756647965772022e-01
-9.744345294228942134e-01,7.742295262316751803e-01
-9.204234103976232095e-01,4.501124122366629843e-01
-4.164251044979083716e-03,-6.371111781295005771e-01
8.860600429983311876e-01,4.029323677072521592e-01
-7.416951700269247549e-01,-3.249095917698183178e-02
6.130713154999112291e-01,-1.090313015082913783e-01
-5.923206696592275833e-02,-3.926476120764466060e-01
6.952090079013648616e-01,1.613453573706427613e-01
2.774790329587701887e-01,-4.299971102309542159e-01
-7.447727571225120080e-01,1.153858107755066642e-01
-4.244934610173514145e-01,-2.139057781608896258e-01
4.437033743799179142e-01,-6.248711306823234723e-02
-9.719575775497384384e-01,5.200987729345255550e-01
2.215065862683143205e-01,-4.682580074197810749e-01
-8.547410398975407997e-01,5.916225254758372687e-01
-6.053800526571604390e-01,-3.911088525428890045e-02
-9.808727862786366103e-01,7.437853061783140651e-01
-6.760321903343835537e-02,-4.024437711001633833e-01
8.449703874970158068e-01,2.964702350101174333e-01
6.746157292396777194e-01,1.157583187158694182e-01
2.469667345522372770e-01,-2.434728564394970929e-01
5.317650853006836709e-01,-2.055916250860102268e-01
-3.726886872233916570e-01,-4.637937264735299547e-01
-1.917584485861349997e-01,-4.844426072142123396e-01
-3.204394606294762582e-01,-4.213599053437627195e-01
-4.939747072308569020e-01,-1.619496944543829808e-01
-6.579666684900360440e-01,1.515503152605650328e-01
2.653287710093648055e-01,-4.183086427445708577e-01
-6.780728192889968753e-01,-1.256591806390483512e-01
-2.181534277923211640e-01,-3.708654150280434325e-01
-6.133342362656444280e-01,1.135305773481068703e-01
3.180884302882038828e-01,-4.632286958879969219e-01
-6.531798929310601576e-01,-1.034381863571473461e-04
9.911601503694758009e-01,5.746066172963384400e-01
-7.785793721870994943e-01,2.586314721556576823e-01
-2.484827106232891936e-01,-2.555777149081654986e-01
4.258547329204676046e-01,-5.299413896605719154e-01
7.141937446251795940e-01,3.370173284172337524e-01
-4.068638025645590073e-01,-1.688214614810603365e-01
4.708338951048962606e-01,-2.432904382128660836e-01
-8.424755915104564785e-02,-6.157728795376987696e-01
4.273577895025650886e-01,4.632257862336169874e-02
8.699141220940838082e-01,4.109719113612946284e-01
1.071766103319375940e-01,-6.028400332085352975e-01
-6.505201241723646000e-02,-4.134906814703284694e-01
-9.846440576926118737e-01,5.405735811976342120e-01
9.598617969291378671e-02,-5.693622982849388947e-01
3.447716988412947714e-01,-3.828531124673786867e-01
8.468357473921863665e-01,4.767109097101570048e-01
-1.065782374113295461e-01,-4.721982359368692705e-01
-4.687879663640750483e-01,-3.459700775717997057e-01
-9.656530731154706615e-01,5.607967120353464230e-01
2.462832163013017883e-02,-5.767043951852577344e-01
-3.228072081742585642e-01,-5.750649394753313270e-01
3.715280379868040050e-01,-7.123247489102152441e-02
-1.582976252843668608e-01,-4.479519529671184275e-01
-7.338586975148757574e-01,4.913721769895149083e-02
9.392600705698204155e-01,5.116760256195407308e-01
7.103827180698394361e-01,1.799775737894733496e-01
-8.567742909132427531e-01,2.118278165920272071e-01
5.436330817693417750e-01,1.340744244055684931e-01
-5.630795529197125671e-01,-3.258440653714322899e-02
2.633955767665951964e-01,3.136636885416183018e-02
7.244777051708317650e-01,2.368978585904216172e-01
-3.327567534929176674e-02,-6.084486566009682518e-01
-5.177848836828260470e-01,-2.304949278715715810e-01
2.702909624445373193e-01,-5.426687295910297415e-01
9.533756307295437882e-01,6.590454811979622463e-01
-2.477998345678005254e-01,-3.864203925657566097e-01
2.344674092473248983e-01,-4.247308934626363164e-01
8.565210462054724250e-01,5.735083207393317783e-01
1.620397204659893564e-01,-4.990750669812326068e-01
7.448360015620307806e-01,2.377054887865616417e-01
2.164530032069098553e-01,-5.056481111950512641e-01
-8.568350987342618907e-01,1.256562142229415424e-01
-5.136898960078524201e-01,-3.114450075823198549e-01
-3.346990101261180239e-01,-4.031783767860989132e-01
6.153017419879835970e-03,-8.126143133610927993e-01
3.528729994598949204e-01,-3.567085490892397126e-01
3.852992582239433972e-02,-3.500545426812297078e-01
8.297009242827431130e-01,4.536229841186687484e-01
-2.962214831860889852e-01,-3.419916457428707757e-01
-3.295704822542186996e-01,-3.451531818247645655e-01
8.296042390836206870e-01,3.691922091269478345e-01
-6.919544544612410419e-03,-4.810326000301146654e-01
5.761445741367936524e-01,-1.298463664962360709e-01
8.149353315687486443e-01,2.914952987581592714e-01
5.388532329730861825e-01,6.992641594803430949e-02
9.328871664678173303e-01,5.979158431819999731e-01
-4.515725594875867888e-01,-4.173227025423513759e-01
2.254865233682346037e-01,-3.409786493022294862e-01
-6.096144024961982488e-01,-3.138227456385390968e-02
7.027576415449341418e-01,2.355766304848298243e-01
6.208405236007854544e-01,-3.708174430875911531e-02
-4.298834474126218552e-01,-3.637433169933816379e-01
-3.680893031329712795e-01,-3.742686611208033698e-01
9.425667502978611889e-01,7.546569515769456782e-01
-4.869698269620703623e-01,-2.281870414399119473e-01
-3.148347424449760013e-01,-8.372448177936029357e-01
7.256178394810672838e-01,2.109420728565826186e-01
-5.098092922396164628e-01,-3.971484207586031823e-02
-4.738107660498411811e-01,-1.791077452928646063e-01
3.343874655764329518e-01,-3.428532110791066567e-01
-5.822014603724328108e-01,2.077555695703033889e-01
4.284864830800838575e-02,-6.591733386014497764e-01
-8.907227310737824144e-01,2.742751590085242830e-01
-3.315219727344067557e-01,-2.228860403765816345e-01
3.478595623312163987e-02,-4.084136467591547026e-01
-6.036393548152956257e-01,-7.996825445850191949e-02
6.491430349175311143e-01,-7.701775786564277193e-02
2.467846399670319268e-01,-3.560710234243316119e-01
6.829728310288945003e-01,8.335472411575020613e-03
-7.981555937567743619e-01,2.655685040424156651e-01
4.253263419266377632e-01,-2.839641048527322686e-01
2.801714607338052776e-01,-3.305109338337544056e-01
-2.889923192088206250e-01,-7.431068421572559757e-01
3.678620976063033954e-01,-4.725176888675735043e-01
-3.889389941944452200e-01,-3.349282329276973558e-01
-3.679041494106798371e-01,-2.779087855653542549e-01
-7.661850023538165910e-01,-9.795062125587450375e-03
8.253061420370781942e-01,4.002439242663075603e-01
-2.297260970794881008e-01,-5.347106736089771717e-01
7.031276494626519380e-01,2.331665121274824060e-01
-6.978485817706026051e-01,-2.954957029474163943e-01
8.560903098492065322e-01,2.868384713260454522e-01
1.146457377428773405e-01,-3.135824835187659976e-01
-2.823016088593715001e-01,-4.918448430973884067e-01
5.569648376926701339e-01,-3.422200083368709400e-02
4.144031007426964841e-01,-2.009047140650644381e-01
5.248455205414799263e-01,-1.489526308106511876e-01
2.114311068967555940e-01,-3.686008350652746901e-01
3.962300492676762431e-03,-4.688242785783133249e-01
8.003191499519652918e-01,2.131918633460844759e-01
-9.369212239680533294e-01,4.946040554753504681e-01
1.723696168173682874e-01,-5.268547422873613995e-01
-9.888120401653908154e-01,8.898911583084853083e-01
-9.888998156403561168e-02,-5.189564049699264547e-01
9.899620990806745624e-02,-5.789106952686600138e-01
7.761081463455770102e-01,3.105958079189586329e-01
8.795682728984335341e-01,3.782024720771739457e-01
8.916447555485291776e-01,2.659903293141512304e-01
-1.217662366207379332e-01,-4.072998821924055379e-01
5.503329570986239538e-01,9.983178293402719672e-02
-6.542785496626040143e-01,1.269976387537774531e-01
-1.696321854989513156e-01,-4.974381638333179034e-01
9.877056524056551101e-01,4.089419519683097914e-01
1.902806841023807483e-01,-6.322774002387239189e-01
-8.443273669308664076e-01,5.739494183911645342e-01
-5.874490953289848161e-01,-1.681083728113410003e-01
3.769225546784693570e-01,-3.915399115062044855e-01
-4.992838139584678814e-01,-2.291181768379697281e-01
-3.369261715147573444e-01,-6.067250442976095393e-01
-7.725299125036506620e-01,4.697860538690259991e-02
-1.905203891958697771e-01,-7.779118102217520425e-01
-8.463887851035274412e-01,1.276714751473144172e-01
-1.468583213040646207e-01,-6.590305505105671369e-01
-5.701826176049347161e-01,-3.442900033072546218e-02
8.980290038372877870e-01,3.929752859156667721e-01
-5.200371162173089701e-03,-6.933782154306724621e-01
5.717484227348290649e-01,2.402015952786716868e-01
8.995458291562765663e-01,4.243960629077185853e-01
-3.453546627441488326e-01,-5.642432474480902904e-01
-6.273613470494197042e-01,-8.818807652373064632e-02
-1.922544616411510088e-01,-3.722024398165030834e-01
7.733810144193891123e-01,4.280741880578264880e-02
-5.057606630742448317e-01,-3.224433439213580943e-01
-6.356269092985147307e-01,-2.518469729620470901e-02
9.005694778903792219e-01,2.388261259305008433e-01
6.971267020099762846e-01,-8.816926876553896064e-02
7.012624425828062336e-02,-5.920723131510492454e-01
8.603268816679467967e-01,5.247350720472315766e-01
3.752898723766751043e-01,-2.800673652248050760e-01
-5.661471193246183642e-01,1.031577672833155213e-01
4.310064576170014039e-01,-8.620949921665502225e-02
-2.497666240258777925e-02,-4.933893887194495953e-01
-8.685728918991084679e-01,1.277235926221797491e-01
9.595115341229207839e-01,5.685032068176583131e-01
